Opponent team,Batting First,Bowling First,Pitch,Score,WON=1/LOST=0 (label)
Lahore Qalandars,NO,YES,NORMAL,131,1
Quetta Gladiators,YES,NO,NORMAL,147,0
Islamabad United,NO,YES,DUSTY,130,0
Peshawar Zalmi,NO,YES,NORMAL,179,0
Lahore Qalandars,YES,NO,DUSTY,178,1
Quetta Gladiators,YES,NO,NORMAL,127,0
Islamabad United,YES,NO,DRY,128,0
Peshawar Zalmi,YES,NO,HARD,158,0
Islamabad United,YES,NO,NORMAL,111,0
Peshawar Zalmi,YES,NO,NORMAL,118,0
Quetta Gladiators,YES,NO,NORMAL,159,0
Lahore Qalandars,NO,YES,DRY,172,0
Islamabad United,NO,YES,NORMAL,75,1
Peshawar Zalmi,YES,NO,NORMAL,174,1
Quetta Gladiators,YES,NO,DRY,154,0
Lahore Qalandars,NO,YES,NORMAL,158,1
Islamabad United,NO,YES,NORMAL,127,1
Islamabad United,YES,NO,DRY,126,1
Peshawar Zalmi,NO,YES,DRY,157,1
Quetta Gladiators,YES,NO,NORMAL,149,1
Peshawar Zalmi,NO,YES,NORMAL,135,1
Lahore Qalandars,YES,NO,DRY,159,1
Islamabad United,YES,NO,DRY,153,0
Quetta Gladiators,NO,YES,NORMAL,113,0
Multan Sultans,YES,NO,NORMAL,188,1
Lahore Qalandars,YES,NO,NORMAL,163,0
Multan Sultans,YES,NO,DRY,183,1
Lahore Qalandars,NO,YES,DRY,116,0
Peshawar Zalmi,NO,YES,NORMAL,109,0
Islamabad United,YES,NO,NORMAL,143,0
Quetta Gladiators,NO,YES,NORMAL,188,1
Islamabad United,YES,NO,NORMAL,168,0
Lahore Qalandars,NO,YES,NORMAL,134,1
Multan Sultans,NO,YES,NORMAL,120,1
Quetta Gladiators,YES,NO,DRY,190,1
Peshawar Zalmi,NO,YES,NORMAL,142,0
Islamabad United,YES,NO,DRY,161,0
Peshawar Zalmi,YES,NO,NORMAL,201,1
Quetta Gladiators,YES,NO,DUSTY,156,0
Multan Sultans,NO,YES,DUSTY,134,0
Islamabad United,NO,YES,NORMAL,187,1
Peshawar Zalmi,NO,YES,NORMAL,152,1
Lahore Qalandars,YES,NO,NORMAL,187,0
